START_TIME,STOP_TIME,POSTURE,PA_TYPE,HIGH_LEVEL_BEHAVIOR,CONTEXTUAL_PARAMETERS,EXPERIMENTAL_SITUATION,ADDITIONAL_NOTES
2022-05-19 13:21:50.812,2022-05-19 13:23:18.800,In_Position_Upright,Synchronizing_Sensors,,Located_Indoors,Lab_Indoors,
2022-05-19 13:23:22.800,2022-05-19 13:23:39.800,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 13:23:39.800,2022-05-19 13:23:57.800,In_Position_Upright,Walking_Slow,,Located_Indoors,Lab_Indoors,
2022-05-19 13:24:03.787,2022-05-19 13:26:36.775,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 13:26:36.775,2022-05-19 13:27:26.775,In_Position_Sitting,Sitting_With_Movement,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 13:27:26.775,2022-05-19 13:27:38.762,In_Position_Sitting,Sitting_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 13:27:42.762,2022-05-19 13:29:27.750,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 13:29:34.750,2022-05-19 13:32:45.725,Lying_On_Back,Lying_On_Back_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 13:32:58.725,2022-05-19 13:33:14.725,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 13:33:14.725,2022-05-19 13:37:07.700,In_Position_Sitting,Sitting_Still,,Located_Indoors,Lab_Indoors,
2022-05-19 13:37:07.700,2022-05-19 13:40:16.675,In_Position_Sitting,Sit_Typing_Lab,,Located_Indoors|Typing_Computer,Lab_Indoors,
2022-05-19 13:40:25.675,2022-05-19 13:43:46.650,In_Position_Upright,Standing_Still,,Located_Indoors,Lab_Indoors,
2022-05-19 13:43:46.650,2022-05-19 13:47:00.625,In_Position_Upright,Folding_Clothes,,Located_Indoors,Lab_Indoors,
2022-05-19 13:47:00.625,2022-05-19 13:48:20.625,In_Position_Upright,Folding_Clothes,,Located_Indoors,Lab_Indoors,
2022-05-19 13:48:23.612,2022-05-19 13:53:35.575,In_Position_Sitting,Stationary_Biking_300_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 13:53:35.575,2022-05-19 13:54:39.575,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 13:54:39.575,2022-05-19 13:58:41.550,In_Position_Upright,Treadmill_2mph_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 13:58:41.550,2022-05-19 14:03:10.512,In_Position_Upright,Treadmill_3mph_Hands_Pockets_Lab,,Located_Indoors|Hand_In_Pocket,Lab_Indoors,
