START_TIME,MAPPED_LABEL
2022-05-19 13:23:23,Standing
2022-05-19 13:23:43,Walking
2022-05-19 13:24:13,Standing
2022-05-19 13:24:23,Standing
2022-05-19 13:24:33,Standing
2022-05-19 13:24:43,Standing
2022-05-19 13:24:53,Standing
2022-05-19 13:25:03,Standing
2022-05-19 13:25:13,Standing
2022-05-19 13:25:23,Standing
2022-05-19 13:25:33,Standing
2022-05-19 13:25:43,Standing
2022-05-19 13:25:53,Standing
2022-05-19 13:26:03,Standing
2022-05-19 13:26:13,Standing
2022-05-19 13:26:23,Standing
2022-05-19 13:26:43,Sitting
2022-05-19 13:26:53,Sitting
2022-05-19 13:27:03,Sitting
2022-05-19 13:27:13,Sitting
2022-05-19 13:27:23,Sitting
2022-05-19 13:27:43,Standing
2022-05-19 13:27:53,Standing
2022-05-19 13:28:03,Standing
2022-05-19 13:28:13,Standing
2022-05-19 13:28:23,Standing
2022-05-19 13:28:33,Standing
2022-05-19 13:28:43,Standing
2022-05-19 13:28:53,Standing
2022-05-19 13:29:03,Standing
2022-05-19 13:29:13,Standing
2022-05-19 13:29:43,Lying_Down
2022-05-19 13:29:53,Lying_Down
2022-05-19 13:30:03,Lying_Down
2022-05-19 13:30:13,Lying_Down
2022-05-19 13:30:23,Lying_Down
2022-05-19 13:30:33,Lying_Down
2022-05-19 13:30:43,Lying_Down
2022-05-19 13:30:53,Lying_Down
2022-05-19 13:31:03,Lying_Down
2022-05-19 13:31:13,Lying_Down
2022-05-19 13:31:23,Lying_Down
2022-05-19 13:31:33,Lying_Down
2022-05-19 13:31:43,Lying_Down
2022-05-19 13:31:53,Lying_Down
2022-05-19 13:32:03,Lying_Down
2022-05-19 13:32:13,Lying_Down
2022-05-19 13:32:23,Lying_Down
2022-05-19 13:32:33,Lying_Down
2022-05-19 13:33:03,Standing
2022-05-19 13:33:23,Sitting
2022-05-19 13:33:33,Sitting
2022-05-19 13:33:43,Sitting
2022-05-19 13:33:53,Sitting
2022-05-19 13:34:03,Sitting
2022-05-19 13:34:13,Sitting
2022-05-19 13:34:23,Sitting
2022-05-19 13:34:33,Sitting
2022-05-19 13:34:43,Sitting
2022-05-19 13:34:53,Sitting
2022-05-19 13:35:03,Sitting
2022-05-19 13:35:13,Sitting
2022-05-19 13:35:23,Sitting
2022-05-19 13:35:33,Sitting
2022-05-19 13:35:43,Sitting
2022-05-19 13:35:53,Sitting
2022-05-19 13:36:03,Sitting
2022-05-19 13:36:13,Sitting
2022-05-19 13:36:23,Sitting
2022-05-19 13:36:33,Sitting
2022-05-19 13:36:43,Sitting
2022-05-19 13:36:53,Sitting
2022-05-19 13:37:03,Sitting
2022-05-19 13:37:13,Sitting
2022-05-19 13:37:23,Sitting
2022-05-19 13:37:33,Sitting
2022-05-19 13:37:43,Sitting
2022-05-19 13:37:53,Sitting
2022-05-19 13:38:03,Sitting
2022-05-19 13:38:13,Sitting
2022-05-19 13:38:23,Sitting
2022-05-19 13:38:33,Sitting
2022-05-19 13:38:43,Sitting
2022-05-19 13:38:53,Sitting
2022-05-19 13:39:03,Sitting
2022-05-19 13:39:13,Sitting
2022-05-19 13:39:23,Sitting
2022-05-19 13:39:33,Sitting
2022-05-19 13:39:43,Sitting
2022-05-19 13:39:53,Sitting
2022-05-19 13:40:03,Sitting
2022-05-19 13:40:33,Standing
2022-05-19 13:40:43,Standing
2022-05-19 13:40:53,Standing
2022-05-19 13:41:03,Standing
2022-05-19 13:41:13,Standing
2022-05-19 13:41:23,Standing
2022-05-19 13:41:33,Standing
2022-05-19 13:41:43,Standing
2022-05-19 13:41:53,Standing
2022-05-19 13:42:03,Standing
2022-05-19 13:42:13,Standing
2022-05-19 13:42:23,Standing
2022-05-19 13:42:33,Standing
2022-05-19 13:42:43,Standing
2022-05-19 13:42:53,Standing
2022-05-19 13:43:03,Standing
2022-05-19 13:43:13,Standing
2022-05-19 13:43:23,Standing
2022-05-19 13:43:33,Standing
2022-05-19 13:48:33,Biking
2022-05-19 13:48:43,Biking
2022-05-19 13:48:53,Biking
2022-05-19 13:49:03,Biking
2022-05-19 13:49:13,Biking
2022-05-19 13:49:23,Biking
2022-05-19 13:49:33,Biking
2022-05-19 13:49:43,Biking
2022-05-19 13:49:53,Biking
2022-05-19 13:50:03,Biking
2022-05-19 13:50:13,Biking
2022-05-19 13:50:23,Biking
2022-05-19 13:50:33,Biking
2022-05-19 13:50:43,Biking
2022-05-19 13:50:53,Biking
2022-05-19 13:51:03,Biking
2022-05-19 13:51:13,Biking
2022-05-19 13:51:23,Biking
2022-05-19 13:51:33,Biking
2022-05-19 13:51:43,Biking
2022-05-19 13:51:53,Biking
2022-05-19 13:52:03,Biking
2022-05-19 13:52:13,Biking
2022-05-19 13:52:23,Biking
2022-05-19 13:52:33,Biking
2022-05-19 13:52:43,Biking
2022-05-19 13:52:53,Biking
2022-05-19 13:53:03,Biking
2022-05-19 13:53:13,Biking
2022-05-19 13:53:23,Biking
2022-05-19 13:53:43,Standing
2022-05-19 13:53:53,Standing
2022-05-19 13:54:03,Standing
2022-05-19 13:54:13,Standing
2022-05-19 13:54:23,Standing
2022-05-19 13:54:43,Walking
2022-05-19 13:54:53,Walking
2022-05-19 13:55:03,Walking
2022-05-19 13:55:13,Walking
2022-05-19 13:55:23,Walking
2022-05-19 13:55:33,Walking
2022-05-19 13:55:43,Walking
2022-05-19 13:55:53,Walking
2022-05-19 13:56:03,Walking
2022-05-19 13:56:13,Walking
2022-05-19 13:56:23,Walking
2022-05-19 13:56:33,Walking
